"Código da obra";"Título Original";"Título no Brasil";"Ano de produção";"Diretor";"Data de liberação para exibição"
19002023;"SCARY STORIES TO TELL IN THE DARK";"HISTÓRIAS ASSUSTADORAS: PARA CONTAR NO ESCURO";2019;"ANDRE OVREDAL";"2019-06-28"
19001274;"PLAYMOBIL";"PLAYMOBIL - O FILME";2019;"LINO DI SALVO";"2019-06-27"
19002920;"QUASE LIVRES";"QUASE LIVRES";2019;"ANDRÉ BORELLI MARTINS";"2019-06-27"
19002883;"SOUNDGARDEN: LIVE FROM THE ARTISTS DEN";"SOUNDGARDEN: LIVE FROM THE ARTISTS DEN";2018;"JOJO PENNEBAKER";"2019-06-26"
19002874;"DAFNE";"DAFNE";2018;"FREDERICO BONDI";"2019-06-25"
17002223;"ABAIXO A GRAVIDADE";"ABAIXO A GRAVIDADE";2017;"EDGARD REYS NAVARRO FILHO";"2019-06-24"
19002826;"KÛKAI";"O MISTÉRIO DO GATO CHINÊS";2017;"KAIGE CHEN";"2019-06-24"
19001308;"PHOTOGRAPH";"RETRATO DO AMOR";2019;"RITESH BATRA";"2019-06-21"
18005502;"PALACE II - 3 QUARTOS COM VISTA PARA O MAR";"PALACE II - 3 QUARTOS COM VISTA PARA O MAR";2018;"GABRIEL AYRES CORRÊA E CASTRO";"2019-06-19"
19002677;"THE LION KING";"O REI LEÃO";2019;"FAIRVIEW ENTERTAINMENT";"2019-06-19"
19002753;"THE GOLDEN GLOVE";"O BAR LUVA DOURADA";2018;"FATIH AKIN";"2019-06-19"
19002334;"EDMOND";"CYRANO - MON AMOUR";2018;"ALEXIS MICHALIK";"2019-06-18"
19002538;"RELATOS DO FRONT";"RELATOS DO FRONT";2019;"RENATO CALDAS COELHO MARTINS";"2019-06-18"
19002640;"FAST & FURIOUS PRESENTS: HOBBS & SHAW";"VELOZES & FURIOSOS: HOBBS & SHAW";2019;"DAVID LEITCH";"2019-06-18"
19002656;"THE HUSTLE";"AS TRAPACEIRAS";2019;"CHRIS ADDISON";"2019-06-18"
19002657;"YESTERDAY";"YESTERDAY";2019;"DANNY BOYLE";"2019-06-18"
19002715;"MON INCONNUE";"AMOR À SEGUNDA VISTA";2019;"HUGO GÉLIN";"2019-06-18"
19002814;"PLAYTIME";"PLAYTIME - TEMPO DE DIVERSÃO";1967;"JACQUES TATI";"2019-06-18"
18004929;"MEMOIR OF PAIN";"MEMÓRIAS DA DOR";2017;"EMMANUEL FINKIEL";"2019-06-14"
19002717;"CHARLIE´S ANGELS";"AS PANTERAS";2019;"ELIZABETH BANKS";"2019-06-14"
19002718;"THE ANGRY BIRDS MOVIE 2";"ANGRY BIRDS 2 - O FILME";2019;"THUROP VAN ORMAN";"2019-06-14"
17005789;"CAMPUS SANTO";"CAMPUS SANTO";2016;"MARCIO CAVALCANTI CURI";"2019-06-13"
19002487;"TERMINATOR: DARK FATE";"O EXTERMINADOR DO FUTURO: DESTINO SOMBRIO";2019;"TIM MILLER";"2019-06-13"
19002488;"THE ART OF RACING IN THE RAIN";"A ARTE DE CORRER NA CHUVA";2019;"SIMON CURTIS";"2019-06-13"
19002520;"AD ASTRA";"AD ASTRA";2019;"JAMES GRAY";"2019-06-13"
19002522;"FORD V FERRARI";"FORD VS FERRARI";2019;"JAMES MANDGOLD";"2019-06-13"
19002752;"REBELLES";"MULHERES ARMADAS, HOMENS NA LATA";2019;"ALLAN MAUDUIT";"2019-06-13"
19002451;"NOVAS ESPÉCIES - A EXPEDIÇÃO DO SÉCULO";"NOVAS ESPÉCIES - A EXPEDIÇÃO DO SÉCULO";2019;"MAURICIO DIAS";"2019-06-12"
19000422;"O CORPO É NOSSO!";"O CORPO É NOSSO!";2019;"THEREZA JESSOUROUN";"2019-06-11"
19002493;"BLOQUEIO";"BLOQUEIO";2018;"MARIA VICTORIA ALVARES MAIA LEITE";"2019-06-11"
19001231;"YAO";"JORNADA DA VIDA";2018;"PHILIPPE GODEAU";"2019-06-10"
19002207;"EL CUENTO DE LAS COMADREJAS";"A GRANDE  DAMA  DO CINEMA";2019;"JUAN JOSÉ CAMPANELLA";"2019-06-10"
19002661;"LE MYSTERE HENRI PICK";"O MISTÉRIO DE HENRI PICK";2019;"RÉMI BEZANÇON";"2019-06-07"
19002670;"MAYA";"MAYA";2018;"MIA HANSEN-LØVE";"2019-06-07"
